X,Y,Z
0.267358,0.732642,0.0303828
0.332502,0.732642,0.0414715
0.417498,0.732642,0.0512437
0.482642,0.732642,0.0551348
0.017358,0.767358,-0.0000114183
0.0825024,0.767358,0.00315657
0.167498,0.767358,0.011113
0.232642,0.767358,0.0201415
0.017358,0.832502,-0.00000474932
0.0825024,0.832502,0.00174271
0.167498,0.832502,0.00613207
0.232642,0.832502,0.011113
0.017358,0.917498,0.00000158436
0.0825024,0.917498,0.000497104
0.167498,0.917498,0.00174271
0.232642,0.917498,0.00315657
0.017358,0.982642,0.00000462424
0.0825024,0.982642,0.00000158435
0.167498,0.982642,-0.00000474921
0.232642,0.982642,-0.000011418
0.267358,0.767358,0.0247378
0.332502,0.767358,0.0337663
0.417498,0.767358,0.0417228
0.482642,0.767358,0.0448908
0.267358,0.832502,0.0136492
0.332502,0.832502,0.0186301
0.417498,0.832502,0.0230195
0.482642,0.832502,0.024767
0.267358,0.917498,0.00387698
0.332502,0.917498,0.00529084
0.417498,0.917498,0.00653644
0.482642,0.917498,0.00703196
0.267358,0.982642,-0.0000140831
0.332502,0.982642,-0.0000207521
0.417498,0.982642,-0.0000270857
0.482642,0.982642,-0.0000301255
0.517358,0.517358,0.100056
0.582502,0.517358,0.0929936
0.667498,0.517358,0.0752586
0.732642,0.517358,0.0551348
0.517358,0.582502,0.0929936
0.582502,0.582502,0.08643
0.667498,0.582502,0.069947
0.732642,0.582502,0.0512437
0.517358,0.667498,0.0752586
0.582502,0.667498,0.069947
0.667498,0.667498,0.0566077
0.732642,0.667498,0.0414715
0.517358,0.732642,0.0551348
0.582502,0.732642,0.0512437
0.667498,0.732642,0.0414715
0.732642,0.732642,0.0303828
0.767358,0.517358,0.0448908
0.832502,0.517358,0.024767
0.917498,0.517358,0.00703196
0.982642,0.517358,-0.0000301263
0.767358,0.582502,0.0417228
0.832502,0.582502,0.0230195
0.917498,0.582502,0.00653644
0.982642,0.582502,-0.0000270863
0.767358,0.667498,0.0337663
0.832502,0.667498,0.0186301
0.917498,0.667498,0.00529084
0.982642,0.667498,-0.0000207525
0.767358,0.732642,0.0247378
0.832502,0.732642,0.0136492
0.917498,0.732642,0.00387698
0.982642,0.732642,-0.0000140837
0.517358,0.767358,0.0448908
0.582502,0.767358,0.0417228
0.667498,0.767358,0.0337663
0.732642,0.767358,0.0247378
0.517358,0.832502,0.024767
0.582502,0.832502,0.0230195
0.667498,0.832502,0.0186301
0.732642,0.832502,0.0136492
0.517358,0.917498,0.00703196
0.582502,0.917498,0.00653644
0.667498,0.917498,0.00529084
0.732642,0.917498,0.00387698
0.517358,0.982642,-0.0000301255
0.582502,0.982642,-0.0000270857
0.667498,0.982642,-0.0000207521
0.732642,0.982642,-0.0000140832
0.767358,0.767358,0.0201415
0.832502,0.767358,0.011113
0.917498,0.767358,0.00315657
0.982642,0.767358,-0.0000114186
0.767358,0.832502,0.011113
0.832502,0.832502,0.00613207
0.917498,0.832502,0.00174271
0.982642,0.832502,-0.00000474944
0.767358,0.917498,0.00315657
0.832502,0.917498,0.00174271
0.917498,0.917498,0.000497104
0.982642,0.917498,0.00000158445
0.767358,0.982642,-0.0000114182
0.832502,0.982642,-0.00000474921
0.917498,0.982642,0.00000158451
0.982642,0.982642,0.00000462446
